Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
15-May-14,9347.85,9362.9,9234.05,9314.4,8660123,1124.35
16-May-14,9372.75,9493,8946.55,9111.4,17884167,2242.62
19-May-14,9135.55,9135.55,8609.95,8675.1,21719748,2946.94
20-May-14,8704.5,8906.8,8704.5,8878.9,16399854,1602.03
21-May-14,8871.75,8962.05,8858.95,8952.85,13763085,1283
22-May-14,8978.85,8980.5,8876.35,8929.6,14003321,1385.46
23-May-14,8954.1,9072.4,8841.9,8941.3,15699876,1408.78
26-May-14,8986.5,9091.8,8962.5,9061,20106727,1182.16
27-May-14,9082.3,9206.15,9048.5,9101.85,20305492,1156.52
28-May-14,9106.15,9253.65,9103.8,9237.25,14208333,1189.6
29-May-14,9075.8,9075.8,8909.45,8927.4,17028188,2654.72
30-May-14,8941,8992.25,8877.75,8970.3,15433739,2016.62
02-Jun-14,9004,9022.6,8963.2,8981.95,7889365,751.18
03-Jun-14,9007.8,9039,8913.95,8976.4,10374139,1053
04-Jun-14,8974.95,8990.9,8820.8,8863.9,12262207,1196.85
05-Jun-14,8877.5,9032.5,8841.8,8984.6,14473393,1472.6
06-Jun-14,8943.3,8957.7,8849.05,8945.1,17375124,1619.87
09-Jun-14,8948.75,9029.05,8926.3,9017.7,13393022,1266.34
10-Jun-14,9043.3,9254.05,9043.3,9234.6,19899793,1530.77
11-Jun-14,9290.5,9510,9276.3,9436.4,19732390,2032.07
12-Jun-14,9589.2,9605.55,9310.6,9447.85,13016108,1720.92
13-Jun-14,9462,9474.15,9339.3,9448.65,11035162,1135.78
16-Jun-14,9449,9600.15,9449,9579.85,11328716,1205.93
17-Jun-14,9618.75,9678.2,9589.15,9620.05,11596299,1295.63
18-Jun-14,9630.85,9660.5,9494.2,9521.35,11407010,1146.25
19-Jun-14,9522.2,9712.65,9503.7,9698.9,12109350,1340.54
20-Jun-14,9714.5,9736.6,9663.3,9700.2,11547793,1061.24
23-Jun-14,9671.55,9695.3,9518.35,9548.2,7289587,732.95
24-Jun-14,9548.65,9588.5,9497.2,9570.75,8602492,987.41
25-Jun-14,9623.4,9643.5,9570.95,9587.9,8624714,861.37
26-Jun-14,9585.75,9648.1,9553.15,9579.4,12389784,1255.55
27-Jun-14,9619.45,9828.95,9607.6,9819.95,16071389,1498.51
30-Jun-14,9834.15,9921.15,9822.7,9912.3,12548529,1290.86
01-Jul-14,9896.8,9897.3,9786.45,9802.85,9330746,977.65
02-Jul-14,9817.65,9849.5,9769.15,9807.6,9147160,872.22
03-Jul-14,9806,9903.55,9805,9831.35,10668482,1084.65
04-Jul-14,9829.95,9883.85,9827.25,9866.95,26125779,947.01
07-Jul-14,9922.95,10139.4,9918.5,10126.25,18359972,1455.24
08-Jul-14,10146.75,10146.75,9973.15,10019.7,18076883,1558.67
09-Jul-14,10041.35,10082.7,9867.35,9903.3,16467600,1283.2
10-Jul-14,9906.65,10002.65,9753.1,9816.2,13338843,1277.31
11-Jul-14,9992.15,10050.6,9889.65,9933.55,13101724,1357.46
14-Jul-14,9944.1,9944.1,9744.3,9799.65,9228355,1018.65
15-Jul-14,9815.65,9856.15,9768.55,9785.75,9583098,753.56
16-Jul-14,9824.2,9846.1,9761.65,9809,8827251,756.34
17-Jul-14,9855.95,9982.35,9807.35,9819.75,10722355,856.54
18-Jul-14,9944.85,10019.2,9929.9,9946.95,15985219,1278.06
21-Jul-14,9998.65,10018.2,9892.4,9912.4,11212373,864.92
22-Jul-14,9918.8,10103.25,9918.8,10086.65,14081944,1189.53
23-Jul-14,10120,10325.5,10120,10306.85,19081610,1485.53
24-Jul-14,10323.8,10422.2,10289.6,10400.15,13248477,1081.07
25-Jul-14,10343,10355.6,10211.9,10339.7,15295054,1300.16
28-Jul-14,10293.7,10405.7,10286.95,10383.45,9642192,1045.14
30-Jul-14,10395.55,10408.3,10311.7,10361.05,9846342,1217.35
31-Jul-14,10348.05,10351.8,10279.55,10304.7,15982094,1963.61
01-Aug-14,10227.55,10307,10141.15,10155.3,12516413,1580.9
04-Aug-14,10192.35,10383.6,10160.2,10370.15,11037813,1536.27
05-Aug-14,10403.6,10450.55,10322,10422.7,8394433,1158.21
06-Aug-14,10423.85,10544.65,10423.85,10484.6,10797302,1502.15
07-Aug-14,10362.55,10414.2,10324.25,10342.95,11991958,1141.27
08-Aug-14,10327.2,10384.7,10293.15,10318.25,8840309,845.76
11-Aug-14,10391.9,10405.55,10338,10382.55,8218096,806.27
12-Aug-14,10448.6,10448.6,10311.2,10394.85,6739145,708.78
13-Aug-14,10381.05,10529.7,10376.85,10480.4,10023422,1218.23
14-Aug-14,10513.75,10547.15,10440.7,10468.25,7458822,854.05
18-Aug-14,10459.7,10465.65,10395.95,10418.7,7979405,849.92
19-Aug-14,10441.4,10441.4,10346.25,10365.15,8195348,1060.53
20-Aug-14,10397,10434.9,10383.65,10399.1,10151638,978.4
21-Aug-14,10432.75,10456.95,10373.95,10392.85,11322899,1017.95
22-Aug-14,10403.45,10565.25,10403.45,10543.4,9716157,1194.37
25-Aug-14,10553.8,10666.5,10514.5,10645.85,9554942,1069.86
26-Aug-14,10653.6,10714.85,10581.85,10671,8879710,1006.03
27-Aug-14,10675.05,10775.45,10635.3,10743.8,10020426,1038.99
28-Aug-14,10749.25,10757.65,10658.2,10679.65,11673150,1374.93
01-Sep-14,10712.5,10753.3,10695.05,10705.3,9069676,677.78
02-Sep-14,10723.45,10783.3,10636.7,10746.55,9897208,893.89
03-Sep-14,10749,11030.15,10749,11005.1,15906105,1677.45
04-Sep-14,11025.85,11025.85,10921.65,10960.45,9153902,927.34
05-Sep-14,11018.8,11122.45,10974.2,11025.55,12581278,1101.06
08-Sep-14,11062.8,11182.5,11056.35,11167.75,12275490,979.72
09-Sep-14,11144,11156.15,11048.4,11069.9,8871840,825.85
10-Sep-14,11041.85,11041.85,10929.6,10942.45,8487119,773.64
11-Sep-14,10975.7,11030.55,10885,10965.95,11066034,942.6
12-Sep-14,10987,11017.7,10918.7,10958.5,11655576,921.07
15-Sep-14,10959.85,10960.7,10856.6,10868.15,9090129,860.73
16-Sep-14,10876.8,10934.3,10796.45,10811.5,15393999,995.02
17-Sep-14,10866.2,11001.5,10866.2,10991.4,9637144,1028.97
18-Sep-14,10916.35,11091.25,10880.95,11055.2,28106358,1471.95
19-Sep-14,11074,11316.6,11071.4,11224.15,28642678,2430.26
22-Sep-14,11187.6,11187.6,11090.85,11173.15,13288959,954.19
23-Sep-14,11172.25,11309.35,11066,11088.05,20309722,1779.89
24-Sep-14,11135.05,11156.05,11034.45,11074.2,12278246,1122.76
25-Sep-14,11102.5,11237.3,11102.5,11185.95,16072047,2148.6
